District,Time Id,Dose 1,Dose 2
AR_East Siang,week11,1403,314
AR_East Siang,week12,1973,471
AR_East Siang,week13,2339,786
AR_East Siang,week14,1743,1431
AR_East Siang,week15,1844,1623
AR_East Siang,week16,1547,1730
AR_East Siang,week17,856,878
AR_East Siang,week18,1461,2
AR_East Siang,week19,315,3
AR_East Siang,week20,1812,7
AR_East Siang,week21,1743,7
AR_East Siang,week22,3487,21
AR_East Siang,week23,10455,47
AR_East Siang,week24,5556,436
AR_East Siang,week25,5375,1797
AR_East Siang,week26,1670,1365
AR_East Siang,week27,900,1430
AR_East Siang,week28,444,1119
AR_East Siang,week29,325,586
AR_East Siang,week30,244,790
AR_East Siang,week31,179,548
AR_Kamle,week1,73,0
AR_Kamle,week2,73,0
AR_Kamle,week3,0,0
AR_Kamle,week4,22,0
AR_Kamle,week5,0,30
AR_Kamle,week6,52,86
AR_Kamle,week7,38,26
AR_Kamle,week8,1,0
AR_Kamle,week9,32,20
AR_Kamle,week10,49,43
AR_Kamle,week11,120,41
AR_Kamle,week12,228,3
AR_Kamle,week13,182,30
AR_Kamle,week14,160,42
AR_Kamle,week15,216,68
AR_Kamle,week16,366,114
AR_Kamle,week17,101,32
AR_Kamle,week18,471,1
AR_Kamle,week19,86,1
AR_Kamle,week20,16,0
AR_Kamle,week21,205,0
AR_Kamle,week22,195,0
AR_Kamle,week23,359,0
AR_Kamle,week24,774,7
AR_Kamle,week25,515,197
AR_Kamle,week26,671,123
AR_Kamle,week27,384,149
AR_Kamle,week28,238,144
AR_Kamle,week29,341,105
AR_Kamle,week30,231,275
AR_Kamle,week31,80,150
AR_Kra Daadi,week1,73,0
AR_Kra Daadi,week2,62,0
AR_Kra Daadi,week3,16,0
AR_Kra Daadi,week4,54,0
AR_Kra Daadi,week5,128,132
AR_Kra Daadi,week6,5,30
AR_Kra Daadi,week7,9,19
AR_Kra Daadi,week8,35,37
AR_Kra Daadi,week9,8,56
AR_Kra Daadi,week10,156,17
AR_Kra Daadi,week11,218,-6
AR_Kra Daadi,week12,113,4
AR_Kra Daadi,week13,341,15
AR_Kra Daadi,week14,141,52
AR_Kra Daadi,week15,236,126
AR_Kra Daadi,week16,158,203
AR_Kra Daadi,week17,77,32
AR_Kra Daadi,week18,548,1
AR_Kra Daadi,week19,374,9
AR_Kra Daadi,week20,201,1
AR_Kra Daadi,week21,184,0
AR_Kra Daadi,week22,313,3
AR_Kra Daadi,week23,381,10
AR_Kra Daadi,week24,915,27
AR_Kra Daadi,week25,312,96
AR_Kra Daadi,week26,63,193
AR_Kra Daadi,week27,221,230
AR_Kra Daadi,week28,467,154
AR_Kra Daadi,week29,4,73
AR_Kra Daadi,week30,24,227
AR_Kra Daadi,week31,171,319
AR_Kurung Kumey,week1,285,0
AR_Kurung Kumey,week2,105,0
AR_Kurung Kumey,week3,58,0
AR_Kurung Kumey,week4,19,0
AR_Kurung Kumey,week5,1,0
AR_Kurung Kumey,week6,70,166
AR_Kurung Kumey,week7,78,62
AR_Kurung Kumey,week8,161,48
AR_Kurung Kumey,week9,503,74
AR_Kurung Kumey,week10,752,19
AR_Kurung Kumey,week11,375,27
AR_Kurung Kumey,week12,190,20
AR_Kurung Kumey,week13,276,147
AR_Kurung Kumey,week14,279,217
AR_Kurung Kumey,week15,233,457
AR_Kurung Kumey,week16,206,456
AR_Kurung Kumey,week17,158,244
AR_Kurung Kumey,week18,388,4
AR_Kurung Kumey,week19,397,1
AR_Kurung Kumey,week20,148,0
AR_Kurung Kumey,week21,48,7
AR_Kurung Kumey,week22,75,0
AR_Kurung Kumey,week23,299,12
AR_Kurung Kumey,week24,981,139
AR_Kurung Kumey,week25,766,115
AR_Kurung Kumey,week26,356,184
AR_Kurung Kumey,week27,360,142
AR_Kurung Kumey,week28,479,139
AR_Kurung Kumey,week29,470,112
AR_Kurung Kumey,week30,58,55
AR_Kurung Kumey,week31,45,223
AR_Lepa Rada,week1,15,0
AR_Lepa Rada,week2,155,0
AR_Lepa Rada,week3,186,0
AR_Lepa Rada,week4,246,0
AR_Lepa Rada,week5,397,166
AR_Lepa Rada,week6,141,73
AR_Lepa Rada,week7,324,166
AR_Lepa Rada,week8,208,145
AR_Lepa Rada,week9,174,300
AR_Lepa Rada,week10,219,92
AR_Lepa Rada,week11,72,34
AR_Lepa Rada,week12,520,172
AR_Lepa Rada,week13,1205,101
AR_Lepa Rada,week14,472,231
AR_Lepa Rada,week15,222,138
AR_Lepa Rada,week16,210,642
AR_Lepa Rada,week17,127,253
AR_Lepa Rada,week18,440,1
AR_Lepa Rada,week19,57,0
AR_Lepa Rada,week20,279,0
AR_Lepa Rada,week21,698,6
AR_Lepa Rada,week22,586,10
AR_Lepa Rada,week23,2257,8
AR_Lepa Rada,week24,1181,14
AR_Lepa Rada,week25,1011,861
AR_Lepa Rada,week26,698,535
AR_Lepa Rada,week27,324,332
AR_Lepa Rada,week28,260,210
AR_Lepa Rada,week29,200,125
AR_Lepa Rada,week30,72,344
AR_Lepa Rada,week31,35,88
AR_Lohit,week1,96,0
AR_Lohit,week2,200,0
AR_Lohit,week3,94,0
AR_Lohit,week4,144,0
AR_Lohit,week5,12,77
AR_Lohit,week6,186,171
AR_Lohit,week7,881,41
AR_Lohit,week8,275,92
AR_Lohit,week9,330,50
AR_Lohit,week10,195,50
AR_Lohit,week11,135,190
AR_Lohit,week12,623,237
AR_Lohit,week13,1039,199
AR_Lohit,week14,964,209
AR_Lohit,week15,1132,203
AR_Lohit,week16,503,266
AR_Lohit,week17,338,211
AR_Lohit,week18,998,4
AR_Lohit,week19,176,8
AR_Lohit,week20,829,9
AR_Lohit,week21,1669,18
AR_Lohit,week22,1698,12
AR_Lohit,week23,3437,49
AR_Lohit,week24,3419,326
AR_Lohit,week25,3007,816
