District Id,Time Id,Dose 1,Dose 2
KA_Kodagu,Overall,266985,101181
KA_Kolar,Overall,709968,197725
KA_Koppal,Overall,522006,159684
KA_Mandya,Overall,818099,233928
KA_Mysuru,Overall,1518768,548407
KA_Raichur,Overall,607058,156711
KA_Ramanagara,Overall,523531,208842
KA_Shivamogga,Overall,692930,231891
KA_Tumakuru,Overall,1087288,311130
KA_Udupi,Overall,658971,248365
KA_Uttara Kannada,Overall,667033,214867
KA_Vijayapura,Overall,803932,201439
KA_Yadgir,Overall,401508,133128
KL_Alappuzha,Overall,1199150,465473
KL_Ernakulam,Overall,2400286,779466
KL_Idukki,Overall,694687,231294
KL_Kannur,Overall,1439579,523214
KL_Kasaragod,Overall,733598,298492
KL_Kollam,Overall,1486767,531596
KL_Kottayam,Overall,1214112,437157
KL_Kozhikode,Overall,1709604,612386
KL_Malappuram,Overall,1658591,597693
KL_Palakkad,Overall,1329886,437186
KL_Pathanamthitta,Overall,935684,392076
KL_Thiruvananthapuram,Overall,2099631,773710
KL_Thrissur,Overall,1801090,653561
KL_Wayanad,Overall,620143,214974
LA_Kargil,Overall,83093,31651
LA_Leh,Overall,107706,48226
LD_Lakshadweep,Overall,52100,19815
MH_Ahmednagar,Overall,1125785,443536
MH_Akola,Overall,456040,186006
MH_Amravati,Overall,747306,282059
MH_Aurangabad,Overall,1072094,359133
MH_Beed,Overall,661239,213358
MH_Bhandara,Overall,534951,165682
MH_Buldhana,Overall,692375,251064
MH_Chandrapur,Overall,666089,198315
MH_Dhule,Overall,566107,191440
MH_Gadchiroli,Overall,299068,76262
MH_Gondia,Overall,598786,161222
MH_Hingoli,Overall,260883,69319
MH_Jalgaon,Overall,896349,315802
MH_Jalna,Overall,561547,179011
MH_Kolhapur,Overall,1468541,743553
MH_Latur,Overall,653747,226649
MH_Mumbai,Overall,6694141,2304935
MH_Nagpur,Overall,2111590,759196
MH_Nanded,Overall,710283,247191
MH_Nandurbar,Overall,445188,128744
MH_Nashik,Overall,1701193,604507
MH_Osmanabad,Overall,401813,154708
MH_Palghar,Overall,686539,237791
MH_Parbhani,Overall,481488,166472
MH_Pune,Overall,5450546,1940790
MH_Raigad,Overall,829467,295087
MH_Ratnagiri,Overall,442545,181442
MH_Sangli,Overall,1160469,463136
MH_Satara,Overall,1158177,498847
MH_Sindhudurg,Overall,324212,139099
MH_Solapur,Overall,898356,341591
MH_Thane,Overall,3227672,1174964
MH_Wardha,Overall,505784,165492
MH_Washim,Overall,411809,160085
MH_Yavatmal,Overall,732473,243203
ML_East Garo Hills,Overall,42573,11664
ML_East Jaintia Hills,Overall,57087,15287
ML_East Khasi Hills,Overall,291421,93242
ML_North Garo Hills,Overall,55450,12156
ML_Ribhoi,Overall,81500,19668
ML_South Garo Hills,Overall,34594,10669
ML_South West Garo Hills,Overall,66492,17288
ML_South West Khasi Hills,Overall,31455,7874
ML_West Garo Hills,Overall,195643,51053
ML_West Jaintia Hills,Overall,78288,23988
ML_West Khasi Hills,Overall,69187,24191
MN_Bishnupur,Overall,123425,23777
MN_Chandel,Overall,25112,8244
MN_Churachandpur,Overall,99138,26672
MN_Imphal East,Overall,240232,67662
MN_Imphal West,Overall,293382,81209
MN_Jiribam,Overall,25612,4589
MN_Kakching,Overall,78623,19756
MN_Kamjong,Overall,9703,2115
MN_Kangpokpi,Overall,36536,7685
MN_Noney,Overall,16176,4659
MN_Pherzawl,Overall,11057,3909
MN_Senapati,Overall,25535,5649
MN_Tamenglong,Overall,18792,5281
MN_Tengnoupal,Overall,23516,5726
MN_Thoubal,Overall,138125,29873
MN_Ukhrul,Overall,19269,6827
MP_Agar Malwa,Overall,303572,40124
MP_Alirajpur,Overall,258899,34821
MP_Anuppur,Overall,330038,47389
MP_Ashoknagar,Overall,366678,59976
MP_Balaghat,Overall,740859,126346
MP_Barwani,Overall,500195,68144
MP_Betul,Overall,714723,143492
MP_Bhind,Overall,638755,105465
MP_Bhopal,Overall,1641963,503895
MP_Burhanpur,Overall,357319,89028
MP_Chhatarpur,Overall,689552,103569
MP_Chhindwara,Overall,885067,163800
MP_Damoh,Overall,564101,78310
MP_Datia,Overall,384907,64482
MP_Dewas,Overall,727919,129548
MP_Dhar,Overall,825795,142380
MP_Dindori,Overall,341195,48257
MP_Guna,Overall,538898,80105
MP_Gwalior,Overall,1050667,280699
MP_Harda,Overall,346995,58218
MP_Hoshangabad,Overall,578414,120334
MP_Indore,Overall,2663955,763806
MP_Jabalpur,Overall,1344787,370384
MP_Jhabua,Overall,354241,55162
MP_Katni,Overall,533042,87368
MP_Khandwa,Overall,611095,103377
MP_Khargone,Overall,735898,118442
MP_Mandla,Overall,414464,59622
MP_Mandsaur,Overall,599754,98124
MP_Morena,Overall,739746,125317
MP_Narsinghpur,Overall,534088,93905
MP_Neemuch,Overall,423199,86973
MP_Panna,Overall,423255,43111
